Esquema Terapêutico,Frequência
AC T.,10
P,10
DOXU/CICLO,10
ANASTROZOL (ARI,10
EC+4T,10
AC+TXT+Hercepti,10
AC +Taxol,10
ARIM,10
PaclitaxelHerc4,10
FEC +ZOMETA,10
ANASTROZOL/HT,10
DOXETAXEL,10
FLUOR-EPIR-CICL,10
12T/4C,10
TRIPTORRELINA,10
AC-PC,10
FACX6,10
6 fac,10
"AC,TAXOL",10
CARBO/TAXOL/HER,10
LECTRUN/ANASTRO,10
AC/P,10
ADRIBLA+DOCETA+,10
PACLIXEL SEMANA,10
DOXETACEL CICL,10
TXT +HERCEPTIN,10
DC T,10
HERECEPTIN,10
CISPLGENCITABIN,10
AC+DOCETA,10
AC+FILG,10
029-CARBOPLATIN,10
ciclo+ doxo,10
ac -rceptin,10
AC-T+ERCEPTIN,10
TAXOL/PLATIRAN,10
CFM,10
ac-docetaxel,10
DOXOR+CICLOFOSF,10
"TAXOTERE,AC,",10
ACETATO DE ABIR,10
ACT/CARBOPLATIN,10
DOX CICL PACLI,10
"PACLITA,AC,TRAS",10
HERCETIN,10
TC= DOCETAXEL+C,10
CICLOFOSFA+DOCE,10
148 -Trastuzum,10
AC- TPACLITAXEL,10
GENCITABINADOCE,10
DOXO/CARBO,10
4A-12T,10
12T-4AC,10
TRASTU/PACLI,10
CIS/DOCE,10
EPI/DOCETAXEL,10
TRASTUZ/DOCETAX,10
TAXOL170MG,10
AC+HERCEPTIM,10
TAXOL+ADM,10
TAXOLDOXO,10
"AC,T",10
PCT/PAMIND,10
AC.T,10
"CICLO,FU,FARMO",10
CICLOFOSFA + DO,10
Paclitaxel5144,10
DOCE+TRAS,10
DOXOTAXOL,10
FEC/TAXOL,10
filga,10
4AC TAXOL,10
DOXO/CTX/DOCE,10
TAC/GRAN,10
GENZAR+TAXOL,10
acdd,10
011,10
PACLITAXEL + CA,10
AC -TX,10
ADRIA+CTX+4T,10
DOXO/5FU/CICLO,10
EP,10
TAXOL/CIS/TRAST,10
ACT (,10
AC DOXO CICLOS,10
TRASTUZUMABI+DO,10
TAXOLCARBOPLAT,10
FPC,10
ANASTROZOLHERCE,10
Paclitaxel+Cicl,10
HERC,10
HERC+XELODA,10
ACT/CRBO,10
ACT/GANULOKINE,10
TRASTUZ+PACLITA,10
TRASTUZUMAB ENT,10
AC- TH,10
PACLITAX,10
taxol+hcp,10
DOXO/ CICLO,10
CSF-CICLOFOSFAM,10
DOCE/ADRIA,10
PACLI+TRASTUZUM,10
CICLODOCETAXEL,10
AT-TA,10
ADRIA/CICLOFOSF,10
"CISPLATINA, DOX",10
ACT/ZMETA,10
DOCEXDOCEX,10
DOCETDOCETAXEL,10
DOXORRUBICINA+P,10
PTX+TZT+AC,10
ZMT,10
DOCETAXEL/CTX,10
PACLITAXELXELOD,10
taxotere,10
TRANSTUZUNABE,10
CARBOCICLO,10
TRASTU+TAXOL+AC,10
DOXO/CDDP,10
"AT,OSTAC",10
FAXOL,10
herceptim + TMX,10
"TAXOTERE, AC, H",10
CICLOF/DOCETAX,10
DOCE/CARBO/TH,10
D1GA,10
TAC/GANULOKINE,10
"AC, CISPLATINA,",10
Doxociclo,10
TUZUMABE+CARBO,10
ACT/HERCEPTIN,10
DOCETAXEL 140 M,10
ADRIA+CICLO+DOC,10
PTX S1S3,10
CICLO/ DOXORRU,9
DOCETAXELXELODA,9
ADRIA/CICLOF,9
METROT+CICLO+FL,9
txth,9
PCLITAXEL,9
AC-T+ Hercept,9
AC+T+DOCETAXEL,9
TMX+AREDIA,9
CARB+TAXOL,9
GENCIT+CISPLAT,9
DOXOR+CICLO,9
AC+TXT+H,9
TAXOL/ HERCEPTI,9
PACLI/HERCEP,9
AC-T/CARBO,9
AC+CARBOTAXOL,9
ADRIA/GENUXAL/F,9
CT- HCP,9
ZOMETA+ANASTRAZ,9
tam,9
TAXOTERE/ CICLO,9
MAMAADJ TC,9
TAXOTERE+CTX,9
"ANASTROZOL, HER",9
AC+ TXT+Trastuz,9
HERC+PERT+DOCET,9
PCT/CB + AC,9
AV,9
TA+CI,9
ADRIA/CICLO/FIL,9
DOXOCICLO TAXO,9
ACT DOXO+CICLO+,9
TAXOL+HERCEPTI,9
"AC,TAXOTERE",9
AC-THercept,9
AC-T/TRAST,9
"ANASTRAZOL, AC+",9
AC-TDOSE DENSA,9
"ARIMIDEX, ACIDO",9
FILGRASTIN,9
TAXOLTRASTUZUM,9
ac=txt hcp,9
TXT/CARBO/ HER,9
FAC3X+ TXT3X,9
fac3,9
TAXOPRAZOL,9
ac+th,9
fac/txt,9
HCP ADJ/ANASTRO,9
"TRASTUZUMAB, PE",9
TRAST+PACLI,9
DOCETAXEL+FILGR,9
GEMZAR/CISPLATI,9
TMX/HERCEPTIN,9
PACA,9
CICLOSFAMIDA,9
AC.TAXANE,9
FED-D,9
TxT +Herceptin,9
AC- TXT,9
CT-AC,9
ADMGENUXAL PA,9
Paclitaxel175mg,9
HERCPACLI,9
C T,9
CARBOTAXOL/HERC,9
docetaxel+filgr,9
DOCE/CICLOFOSFA,9
Cisplatina,9
CICLOFO/DOXO,9
ACT(TAXOL),9
ADMTAXOL CICL,9
AC /TXT HERCEP,9
GENZAR+VINORELB,9
TRANSTUZUMAB,9
AC +T + hercep,9
AC+TXT/HERCEPTI,9
AC-D+TRAST,9
DOCETA+CICLO,9
ACT(DOXORRUBICI,9
ACT8(ADRIAMICI,9
GENZAR,9
FU DOXO CTX,9
ACT DOCETAXEL-,9
"TAXOL,CMF,",9
LETROZOL/HERCEP,9
"AC /TAXOL, HER",9
CTX DOXO FU,9
FASLODEX/HERCEP,9
TAXOLE HERCEPT,9
"HERCEPTIM,",9
TAMOXIFENO+ZOME,9
ac dh,9
GENUXAL/DOXORRU,9
AC-TAOTERE+HERC,9
5FU+CTX+ADB,9
taxotere+hercep,9
ac +TXT H,9
CTX/DOX/FU,9
THP,9
"DOXO,ICLO",9
AC+Taxol+Carbo,9
AC+TUTC,9
actt,9
CICLOFO+EPIRRUB,8
AC- Tol+Carbopl,8
AC-T+ARBO,8
AC+DH,8
carbo+pacli,8
HERCEP+DOCE,8
DOX+CICLO,8
"AC, PACLTAXEL",8
"DOCETAXEL, PACL",8
XELO+ZMT,8
carbo+doce+tras,8
TNBCDOCE+CDDP,8
AC/AREDIA,8
Ciclofosfaamida,8
DOCETAXEL+FILGA,8
ADRI+CICLO,8
DOXORRIBICINA,8
DOCE+,8
ac+taxol,8
4AC12T,8
Ac-Taano,8
docetaxelciclo,8
AC/TADRIA+CICL,8
PERT+TRAS+ANAS,8
Docetaxel+Carbo,8
ARE+T,8
TX AC,8
ZMT+ANASTR,8
DOCETAXEL +,8
"CICLO,DOXO,GRAN",8
dox+ciclo+docet,8
FAXx3,8
fac+,8
TXT/F,8
"CMF,XELODA",8
"TAXOL, AC, ZOLA",8
DOCETAXELECARBO,8
CICLOFOSF/METRO,8
120,8
carbo+doce,8
"CICLO,FU",8
3x fac+3x txt,8
TXT +FAC,8
CICLOFO+DOXURRU,8
CICLOFOS+DOXO,8
DC CARBO,8
TAXOL/,8
FAC TXT,8
DESTIL,8
37,8
ac-taxol,8
STUZUMABE NAVEL,8
AC/T/HT,8
"CMF,DOCETAXEL",8
AC/TXT HERCEPTI,8
AC. DOCETAXEL,8
ac x4 txt x4,8
4AC/4TXT,8
Gem+CIS,8
AC.DOCETAXEL,8
TMX/HERCEPTIM,8
Ac tax,8
AC TAx,8
TRAS,8
AC +TXT + HCPT,8
XELODO,8
CDDPGEMZAR,8
DOCE+ CICLO,8
ADRIAMCICLOFOSF,8
"GENUXAL, TAXOL,",8
PALCITAXEL,8
PACTAXEL,8
AC tax,8
AC Tax,8
FILGRASTIM,8
TAX+HERCEP,8
adriamicina+cil,8
"AC /TAXOL, CIC",8
"GENUXAL, DOXO",8
DOXOR/CICLOFOS,8
034-CICLOFOSFAM,8
TAX +CICLO,8
TAXOL+HER,8
"GEMZAR, TAXOL",8
"AC /TAXOL,DOXO",8
Pacitaxel+Trast,8
HERCEPTIN E TAX,8
TRANTUZUNABE,8
ACT INVERTIDO,8
AC+TXT+HERCTP,8
HERCEPTIN+ tam,8
AC+TXT+HERCEP,8
txt +herceptin,8
ACDD+T,8
AC +TXT - H,8
"ARIMIDEX,AC / T",8
DOXO+CICLO+PCT,8
CDD,8
AC X4+ FILGRAS,8
TAX +DOXO,8
DOCET/CARBO/TRA,8
"FLUO,CICLO,FARM",8
AC -taxotere+H,8
ac txt/HERCEP,8
PACLI+TRANS,8
DOXORRUB/ CICLO,8
AC>>>T,8
"TAMOXIFENO,AC,H",8
GEMZAR CISPLAT,8
ACDDT,8
AC+TXT/HERCEP,8
DOXO+CICLO+CARB,8
AC +PACLI,8
AC +T + H?,8
AC /PACLITAXEL,8
PACLIT+HERCEPTI,8
0,8
CICLOFOS/DOCETA,8
ACX4+ TXTX4,8
4AC4TXT,8
AC 4x-TXT+4 +H,8
GEMZAR CISPLATI,8
"TRASTUZUMABE,CA",8
AC x4+ TXT x4,8
TXT -AC,8
TRASTUZU+PERTUZ,8
"TRASTUZUMABE,TA",8
ac +txt +herce,8
"TAXOL,TAGAMET",8
ADM +TXT + her,8
ADRIBLA+CICLO+T,8
TRANSTUZUMABE+P,8
AC-TAANE,8
Ac /TXT hercep,8
TAXOL+HERCPTIN,8
ADN+CPM(CARBO+P,8
placitaxel,8
ac+txy,8
CICLOFOSFAM+DOX,8
"EPIRRUBUCINA, C",8
AC-TAXOTER,8
AC=T,8
trastuzumabe+ta,8
AC /DOC,8
"HERCEPTIN,ANAST",8
xeloda,8
AC+T+HCP,8
acx4txtx4,8
CILCOFOSFAMIDA+,8
HERCEPTINDOCETA,8
CARBOP+TAXOL,8
TAXOLEHERCEPETI,8
AC/ PACLITAXEL,8
CICLOFO+METROTE,8
CARCINOMA,8
4ACDD-12T,8
DOCE/ERTUZUMABE,8
"TRANSTUZUMABE,",8
EPIRRU+CICLO,8
AC-TXO,8
"TAXOTERE, CTX",8
AC-THERCEPTIN,8
ACT -RCEPTIN,8
AC+ZOMETA,8
D-H,8
ARIMI,8
AC1,8
doxo+,8
"CISPLATINA, GEM",8
ADM TAXOL,8
CICLODOXORRUBI,8
ACDDTC,8
TAXANE,8
"TAMOXIFENO, ACT",8
PTX +TRANST,8
PACLIPACLIT,8
NEOAD,8
EPIRRUIEICIMA +,8
DOCETAXCEL,8
TCH-DCECARBOTRA,8
DOCETAXEL+ZOMET,8
DOXO100+CTX1000,8
"AC-D,HERCEPTIN",8
ACIT,8
5FU/NVB,8
DOCETAX+CICLOFO,8
ac /t,8
AC+DOXO,8
CICLOFO+DAXORRU,8
"DOCETAXEL,AC",8
DOCE/CARBO/TRAN,8
TAXOL FAC,8
CICLO+ADRIBLAS+,8
Gencis,8
EC+TAXOL,8
TXT +HCT,8
FAC-TAXOL,8
CTX+TAX,8
PERTUZ+TRANSTUZ,8
AC-PCT,8
4AC +12TC,8
BFOL,8
DOCETAXEL E CAR,8
4AC+TAXOL SEMAN,8
ACX8,8
ADRIA+DOXO+PALC,8
herceptintaxol,8
AC/t,8
ac-T,8
TAXOL297MG,8
DOXO+CICLO+EPIR,8
FEC/HERCEPTIN,8
TRAS+PACL,8
CICLOFOSFAMIDOX,8
"CICLO,DOXO,TAXO",8
ACT/FILG,8
FLU-DOXO-CICLO,7
Trastuzumab,7
AC+T+Carboplati,7
Taxol+ AC,7
PCT SEMANAL,7
3AC 4XTXT,7
"CDDP+ 5FU,",7
ac +txt/hercep,7
DOCE+HERCEP,7
AC-T+TRASTUZUMA,7
AC+ TXT/HERCEPT,7
D+AC,7
AC +T + H,7
DOCETAXEL+ HERC,7
AC/ DOCETAXEL,7
AC-T+CARBOPLATI,7
FLUOROURACIL +,7
AC+TXT/HERCEPT,7
ac=txt,7
VINORELBINE,7
DOXORR+CICLOFO,7
carbodoce,7
GEM+VINO,7
"CISPLATINA, ETO",7
CARBOTAXOLADRIA,7
GRANULOKINE,7
cisplatina,7
ADRIA+CICLO+TAX,7
ac-tXT,7
CT +H,7
CICLO+DOXO+CARB,7
CAPECITABINA 80,7
CARBOPLATINA E,7
4AC+4,7
"DOXO,ACT",7
TAXOL+TRANSTUZU,7
ADRIB+CICLO,7
DOCE+PERTUZ,7
ACT HCP,7
DOCETAXEL+ANAST,7
AC-T4,7
CICLO+DOXO+TAXO,7
TC(TAXOL+CARBO),7
AC-TAC-T,7
DOCE+ZOF,7
ADM+CTX+DOCETAX,7
ac +Txt,7
DOCET+CICLOFOSF,7
TAXOL+DDP,7
CISPLATINA + PA,7
"AC+T,TTZ",7
ac/txt/hercepti,7
AC+TAXO,7
ac +t + hcp,7
AC +TXT-H,7
AAC,7
ac-taxotere,7
ac ->TXT,7
FEC+DOCETAXEL,7
Ac TAx,7
QT PREVIA,7
ac +docetaxel,7
PALIT,7
QT PREVIA CANCE,7
"AC /TAXOL, GEN",7
ac -txt - h,7
AC-T/TRASTU,7
PACLITAXEL/TRAN,7
ac4 +txt4,7
ac/taxotere,7
AC+Docetaxel,7
AC/TAANO,7
AC-T(ADRIB+CICL,7
FACTX,7
fac/x,7
GENC+ PCT,7
PACLITAXEL/BONE,7
CISPL+GEM,7
FAC+4T,7
CICLO/DOXORR,7
CDDP+,7
CISPLATI+GEMZAR,7
DOXO+PACLITAXEL,7
4ACdd12TC,7
ESTRADIOL+ZOMET,7
DOCE+HERCE+PERT,7
PACLITAXEL-AC,7
ZOLA+ANAST,7
CICLOF/DOXORR,7
CICLODOCE,7
ADRIBLAS+CICLOF,6
"PLACLITAXEL,AC",6
"ADRIAMICINA,TRA",6
paclicarbo,6
CAPACETABINA,6
DOCE/ARBOTH,6
CICLO/FLUO/DOXI,6
"DOCETAX,TRASTUZ",6
EV-ENDOVENOSO,6
AC/CTINVERTIDO,6
PACLITAXELHERC6,6
CARBO+TAXOL+ZOM,6
Ac+Herceptin,6
TAXIOLHERCEPTIN,6
TAXOL+ACDD,6
DOCETA+CICLOF,6
"XELODA, CICLOFO",6
12 TAXOL - 4 AC,6
TRASTU/PERT/DOC,6
"DOXORRUB,CICLOS",6
EPI+CICLO,6
Paclitqaxel+Tra,6
ADRI+CIC+DOCETA,6
AC-T3,6
ADRICIMICICLO,6
TRAST/TAXOTE,6
"DOCETAXEL,AC,TR",6
"DOCETAXEL,TRANS",6
ACT C,6
CISPL+GENCIT,6
ADRIACICLOFOSFD,6
PACLITAX/CARBO,6
DOCETAXEL/XELOD,6
"DOXO,CISCLOF,TR",6
THC,6
"PCLIT,AC,TRASTU",6
TRASTU/DOCETA,6
Docet,6
"PACLITAX,AC,TRA",6
INI6,6
TAMOXIFENO20MG,6
AC- TRCEPTIN,6
"TAXOL, AC, DOXO",6
docetaxel+carbo,6
AC TAXANO,6
TAXITERE,6
AC/CARBO+PACL,6
TAMOXIFENOLEHER,6
"TRASTUZUMAB,ANA",6
TCH NEOAD,6
TAXOL+AC+ HERCE,6
TH -LITAXELTRA,6
"TRASTU,DOCETA,C",6
"PACLI,AC,TRASTU",6
FILGRASTI/TAXOL,6
AC T-RCEPTIN,6
adricimiciclo,6
TAXOL310MG,6
DOCETAXEL/TAXO,6
METO/CICLO/FLU,6
XOL+TRASTUZUMA,6
HERCEP/TAX/CARB,6
rligard,6
AC -CEPTIN,6
ADRIAMICIDACICL,6
XOL+TRASTUZUMAB,6
AC-HECEPTIN,6
EC+TX,6
PCN,6
navelbene,6
"DOXOR,CICLOS,HE",6
TMX+HER,6
"PACLIT,TRASTUZ,",6
"PACLIT,HERCEP,A",6
DOXOE CICLO,6
"PACLITAXEL, ADR",6
TAXOL/HERCPETIN,6
TAXOLHERECEPTIN,6
"DOCETAXEL, AC,",6
DOXO+CTX+DOCE,6
"TXT,AC, HERCEP",6
TRASTUZU+TAXOL,6
CARCINOMAINVASI,6
CARBOPLA/DOCETA,6
TAMOXIFEN/ZOLAD,6
TAXOLA,6
CICLOFOSTAMIDA,6
TAXOL+BONEFOS,6
TRASTUZ+PACLIT,6
"AC,LEUCOVORIM,",6
XELODA 500 MG,6
DOCE+CICLOF+TRA,6
TRASTU+EC,6
21T-4AC,6
ac-trbo,6
CICLO/DOCE/HERC,6
C500,6
PaclitaxelTrans,6
FLUO/METO/DEXA,6
HER/GENCI/CISP,6
AC DOEDENSA,6
CICLO/FLUO/EPI,6
CICLO/DEXA/FLUO,6
AC /LITAXEL,6
AC NEOADJUV,6
TRSTDOCET CARB,6
DOCEARBOTH,6
DOXO+CICLO (AC),6
"LETROZOL 2,5MG",6
ACX4/TXTX4,6
DOCE75,6
GENU+DOXO,6
CA+PACLI,6
FAC 1ª L,6
AD CICLO,6
AC ATXOL,6
TCTC,6
AC+T0,6
EPI/CTX,6
00,6
TAXOLHERP,6
CARBOPACLIZOMET,6
VINOR,6
CICLO/OXI/TAXOL,6
TRASTUZUMAE,6
ZOMETA+ANAST,6
AC DOX DEXA,6
DCE ZOMETA,6
"TAXOL,TRASTUZ,A",6
OCE+CARBO,6
9AC+TX,6
GENUXAL+DOXO,6
"TRASTUZ,TAXOL,A",6
ANASTROZO,6
DCT/CB/TRASTUZU,6
PACLITAXEL + TZ,6
AC+TAXOL+CARB,6
"PACLIT,HERCEPTI",6
AC CARBO + PTX,6
AC-PALITAXELECA,6
DOC+CICLO+TRAST,6
DOCETAXEL 130 M,6
HERCEPTIN/AC-T,6
PLACLITAX/CARBO,6
PACLITAXEL260MG,6
AC+T(DOXO+CICLO,6
TAMOXIFENO+LEUP,6
HORMO,6
AC/ZOMETA,6
AC- DCT,6
ALKERAN,6
CICLOF+DOCET+GR,6
TZB +AC ZOLEDR,6
TRASTY PERT DOC,6
AC-THACLITAXEL,6
TRASTUZUMAB/DCT,6
"PACLIT,TRASTUZU",6
"DOCET,HERCEP,CA",6
CARBODOCEHERCEP,6
CARBOE TXT,6
AC+T4,6
DOCETA/CARBO,6
TRASTU/CARBO,6
AC-CARBO,6
TRAS/DOCE/CARB,6
ACDD-T,6
"FAC 900,900,90",6
CBT+VP16,6
DOCE+ZOMETA,6
AC+T+TRAST,6
T-H,6
ADRIA+GENZAR,6
FOLINATO DE CAL,6
DOCETA/TRASTUZU,6
CICLO/DOXI,6
DOXO/CICLO/FU,6
TRASTUZUM/TAXOL,6
doxo/iclohercep,6
TCH(DOCE+CARBO+,6
CICLO/FLUO/METO,6
MTX,6
ADB+CTX,6
p/d,6
2AT +2T,6
DOXORRUBINA+CIC,6
TRAS/DOCE/CTX,6
AC/TAXO,6
"DORRUBICINA, CI",6
EPIRRUB+CICLO,6
TRAST+PACL,6
AC ¿T,6
CARBO+DOCE+TRA,6
"AC,ACIDO ZOLEDR",6
OXORRUBICINA+CI,6
CT+AC,6
TRSTUZUMABE,6
TAXOL+CABOPLAT,6
DOCETAXEL 150 M,6
4AC=12T,6
"ANASTROZOL,TAXO",6
DOSCO+CICLOFOSF,6
AC-T/GRANULOKIN,6
XELODA/HERCEPIT,6
TRASTU+ TAXO,6
"HERCEP,DOCET,CA",6
DOXE+CICLO,6
CICLO/DOXO/TAX,6
acd,6
acx6,6
DOXI/CICO/TAXOL,6
TRASTU/CARB/DOC,6
DEXA/METO/CICLO,6
DOXO+5FU+CICLOF,6
PACL+TRANS,6
MX  6,6
TH ADJ,6
tc x6,6
TC +CTX,6
ZOF+PACLI+HERCE,6
ACT+ACF+HERCEPT,6
Adr /clo,6
AC-T/ANULOKINE,6
DEXAMETASONA,6
TRASTUZUMABE/DC,6
T/AC,6
AC/TAOXOTERE,6
CARBO+TACOL+AC,6
CarboHerceptin,6
docetaxelhercep,6
xeloda+trastuzu,6
"TRASTUZ,AC,TAXO",6
"TRAST,DOCET,CAR",6
"TRASTU,AC,PACLI",6
AXC/DOCE,6
"DOCET,HERCEPT,C",6
Act,6
ACT+T,6
TAXO/C,6
CTX DOX FU,6
CARCINOMA DA MA,6
PACLIDOXO CICL,6
CICLO+DOCETA,6
AC/TAC,6
HERCEPTIM/DOCE,6
DOCETAX/CARBOP/,6
CE+FAC,6
CARBOP+TAXADJUV,6
AC/TM,6
AC-DOCE HERCEPT,6
ANAS/TRASTU,6
Pacli+Trastu,6
CICLO/METO/FLU,6
DOCETAXEL+DOXO+,6
carbo+herc,6
AC /HCEPTIN,6
CICLOFAS+DOXO,6
"TAXOL/ AC,TRAS",6
TRATUZDOCETAXEL,6
TAXOL/AC /TRAST,6
CARBO9+PACLITAX,6
DOXO96CTX960,6
AC THTRASTUZUM,6
CICLO/FLUO,6
AC+TSX,6
DOXO+C+PA,6
MAMAADJ TMX,6
TXT/CARBO,6
CA+ADM+PACLI,6
navelbinehercep,6
DOCE/CTX/HERCPT,6
AC-TNEOADJUVAN,6
TRASTZ ADJUVANT,6
AC-T/,6
doxo6+ctx,6
AC/TAXOTORE,6
ANAST+HERC,6
FLUO/CICLO,6
TAC/ELIGARD,6
ELODA+ HERCEPT,6
ACNEOADJUVANTE,6
INIB4,6
PACLITACEL/HERC,6
AC+TRAST,6
CICLOF+DOCETA,6
AROMASYN,6
HORMONIO 2LINHA,6
ACTACT,6
AC+PACLITAXCEL,6
TZB+TXT+CARBO,6
ANASTROZOL /HER,6
CILCOFOS+DOCETA,6
AC+T+TRASTU,6
ACT/GRANULOKINE,6
VINORELVINA,6
carbopacli,6
pacliherceptin,6
TRASTUZUM/DCT,6
TRASTUZUM/DCT/C,6
Paclitazel100mg,6
DEOCETAXEL,6
anastriozol,6
TAMOXIFE+LEUPRO,6
TXT/AC,6
TRANTUZUMABE,6
CTX+ZOMETA,6
TXT/CARBO/HERCE,6
TRASTUZU/DOCE/C,6
AC-D/H,6
DOCE+CARBOPLATI,6
ACTNEOADJUVANTE,6
ANASTRO+HERCEPT,6
ACTT,6
GENZAR+CARBO,6
ADRIAMI+CICLOFO,6
DCT/TMX,6
DOXO96 +CTX960,6
TX+TRAS,6
"PACLITAXEL,TRAN",6
DOCE/CARB/TRAST,6
AC 108+1080MG,6
TRASTUZUMAB/NVB,6
DOCE/CICLOFOSMI,6
TC TH,6
CICLOFOD+DOXO,6
XELODA+HERCEPT,6
TAXOL+ 4AC,6
AC+TR,6
FEL+TAX,6
GENU+DOXO110.40,6
UZUMABE+ CARBO,6
"PACLITAXEL , AC",6
ADRIMICI+CICLO,6
AC -RCEPRTIN,6
AC- DOCE,6
HERCEPTININ,6
"FILGRASTIM, PAC",6
DOXO110+CTX1100,6
CICLO+DOXO+FILG,6
DOCETAXELHERC54,6
CAPET+GENCITABI,6
NAVELBINEHERCEP,6
DOCE/CAR/TRAST,6
DOXE+TAXOL+CICL,6
HERCEP+DOCE+CAR,6
TRASTU/DOCE/CIC,6
AC 100 + 1000,6
GENUXAL/5FU,6
TRAST+AC+TAXOL,6
"PACLITAXEL, AC-",6
TRASTUZ/DCT,6
DOCE/TRA/PERTUZ,6
CICLO9DOXORRU,6
AC -ANULOKINE,6
AC 135MG+1350MG,6
ELIGARD455MG,6
ACTH6,6
HERCEPTIM/ZMT,6
TC 4X,6
AC-T-H,6
XELOADA2MG D1 D,6
TRAST+EPI+CICLO,6
CARB+TAXO+ZOME,6
HERC/TAXOL/CARB,6
FAC -T,6
CAR/DOCE/TRAST,6
ACLO/DOXO,6
TX+TRAST,6
DOXOR+CICLOF+FI,6
IT,6
4 AC+ 4 P,6
AC/CT,6
HERCEPTIM+ZOMET,6
"AC,HERCEPTIM,",6
AC X4 + TAXOL,6
PT--AC-T,6
"TACOL,AC,TRASTU",6
CICLO+DOCXORRU,6
ac 100+1000mg,6
AC+TMX,6
HERCEP+DOCETAXE,6
TRAS/CAR/DOCETA,6
AC_TAXOTER,6
TAXOLHERCPTIN,6
AC/PACLI+ CARBO,6
DOCE/CICLOSFANM,6
Paclitaxel_Ac,6
CARBOPL/TAXOL A,6
AC+trastuzumabe,6
DOCE/HERCEPTYN,6
PACLITA/AREDIA,6
CICLO/ADRIAMICI,6
CICLO+DOXO+DOCE,6
AC TNAOADJUVAN,6
AC +12T,6
AC CARBOP TAXOL,6
DOXO/ECICLO,6
GCT/TXT,6
DOCETAXEL+PAMID,6
T-C,6
PX,6
CBT,6
TOMOXIFENO,6
GRANULOKINE AD,6
P / A,6
"DOCE,TRASTUZ,CA",6
DOCETAXELECICLO,6
6TC,6
CARBOPL+GEMZAR,6
CICLO/DOX,6
FAC(5-FU/DOXO+C,6
DOXOR+CICLO+FIL,6
PACLI/CICLO/DEX,6
TAXOL+CICLO,6
DOXO/CILO,6
PT-AC-T,6
"TRASTUZUMAB,TAX",6
HERCIPTINDOCETA,6
TRASTIZ. ADJUVA,6
TC  H,6
DOCE/HERCEPTIM/,6
AC-TCLITAX,6
anstrozol,6
Adria,6
NÃO INFORMADO,6
HERCEPTI/TAMOX,6
AC TR,6
TRH,6
AC-CARBO-TAXOL,6
TRASTU+PERTUZUM,6
HERCEPTIN /TMX,6
aromasin,6
TRASTU+LETRO,6
ctx/doce,6
ac/tc,6
AC/DH,6
DOXARRU+CICLOFO,6
AC-T(CICLO+ADRI,6
DOCETAXELECTX,6
PACLIHER,6
ADN+CPM+TAXOL,6
FAC+ PCT,6
ACDH,6
HERCEPTIN/TAC,6
CARBOPLA+PACLIT,6
TCH],6
TRATUZUMAB,6
HERCEPTI+PACLIT,6
HERCEPTIM],6
DOCE/GARBO,6
AC TAMOXIFENO,6
DOCE+CICLO+ADRI,6
AD/T,6
Taxan,6
5FU CTX,6
DOCE-HERCEP,6
AC_TAXO,6
4 AC4T,6
A CT,6
"TRASTUZUMA/AC,T",6
"TAXOL,TRASTUZMA",6
"HERCEPIN/TAXOL,",6
CISPLATI+GENCI,6
4ACDD+,6
DOCE/TRASTUZ/CA,6
DOCE+HERCE+CARB,6
UNI4,6
TRASTU/ANASTROZ,6
"AC-TH, FILGRAST",6
HECEPTIN,6
CARBO+TAXOL ADJ,6
DCT+CARBO,6
SCT,6
CARBOPLATINA/DO,6
TRANSTUZUMABDOC,6
AV3,6
PACLITAXEL/CICL,6
NAVELBINE/CDDP,6
AC-TO,6
CICLO/FLUOR,6
AC =,6
AC+T+TRAS,6
TAXOTERE/CTX,6
CARB/DOCE/TRAST,6
ADRIA+GENOVAL,6
AC+TXC,6
DOCETAXEL / CIS,6
AC /FILGRASTIM,6
ADRIA+GENOXAL,6
AC/CTINVERT/ZO,6
CICLOF/DOXO/FIL,6
TXT+CARBOPLAT,6
CAPICETABINA,6
AC+HERCEPTIM+DO,6
AROMASYM,6
HORMONIO 1LINHA,6
ADRIACICLO,6
DCT/CAPECITABIN,6
4ACDD+12T+CARBO,6
"AC, FILGAS",6
AC-T-NEOADJ,6
CAPECIT+GENCITA,6
CARB+DOCE=HERCE,6
AC+R,6
AC TY,6
CICLOFOSFA+EPIR,6
PACLITAXEL/HEWR,6
TZXOLTRAST,6
CICLOF+DOCETAXE,6
AC: ADM+CTX+ DO,6
AC+DOCETAXL,6
AC/HERPTIN,6
HERC+DOCE+CARB,6
HERCP/CARBO/TXL,6
TRASTUZUMABE+TA,6
AC TCLI,6
AC/TACOL,6
4X AC,6
CICLODOXO FILG,6
CAR+PACLI,6
"PACLITAXEL/AC,T",6
AC/CARBO+PACLI,6
AC+TAXO+CARBO,6
TRAS/DOCE/ZOME,6
Hercepin,6
AC: ADM+CTX+5FU,6
OXALIPLATINA,6
4AC +AT,6
Adrib,6
EC D,6
TAXOL/AC/HERCEP,6
PACICICLO DOXO,6
ADRIA+CICLOF,6
5FUCT,6
ATXT,6
TAXOL/AC-T,6
CARCINOMA DUCTA,6
CarbotaxolAC,6
HERCEPETIM/TAXO,6
AC -DH,6
AC- +4,6
ACX4/PACLIX12,6
VINOREL+XELODA,6
PACLITAXRL SEMA,6
TRASTUZUAMABE,6
AC+FOLF,6
HERCEPTIN/AC/TA,6
PACLITAXEL80MG,6
DOCETAXEL + TRA,6
